"Supplied Name","guid","scientificName","family","kingdom","Authority","Country","Kingdom","Environment","Origin","Evidence of impact","Verification","Year","Source"
"Cuscuta pentagona","NZOR-6-82613","Cuscuta pentagona","Convolvulaceae",,"Engelm.","Australia","Plantae","host","Alien","No","Yes","2017","Australian Weeds Committee (2012). Noxious weeds list for Australian States and Territories. 
Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Cuscuta racemosa","https://id.biodiversity.org.au/taxon/apni/51270689","Cuscuta suaveolens","Convolvulaceae",,"Mart.","Australia","Plantae","host","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Cuscuta suaveolens","https://id.biodiversity.org.au/taxon/apni/51270689","Cuscuta suaveolens","Convolvulaceae",,"Ser.","Australia","Plantae","host","Alien","No","Yes","2017","Australian Weeds Committee (2012). Noxious weeds list for Australian States and Territories. 
Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Cyanella hyacinthoides","https://id.biodiversity.org.au/node/apni/2904697","Cyanella hyacinthoides","Tecophilaeaceae",,"Royen ex L.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Cyanthillium cinereum","https://id.biodiversity.org.au/taxon/apni/51298364","Cyanthillium cinereum","Asteraceae",,"H. Rob. (L.)","Australia","Plantae","terrestrial","Native/Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Cyanus montanus",,,,,"Hill (L.)","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Cyanus segetum",,,,,"Hill","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Cyathea cooperi","https://id.biodiversity.org.au/taxon/apni/51300013","Cyathea cooperi","Cyatheaceae",,"Domin (Hook. ex F. Muell.)","Australia","Plantae","terrestrial","Native/Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Cycloloma atriplicifolium","https://id.biodiversity.org.au/node/apni/2920446","Cycloloma atriplicifolium","Chenopodiaceae",,"Coult. (Spreng.)","Australia","Plantae","marine","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Cyclospermum leptophyllum","https://id.biodiversity.org.au/node/apni/6904459","Cyclospermum leptophyllum","Apiaceae",,"Sprague ex Britton & P.Wilson (Pers.)","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Cydonia oblonga","https://id.biodiversity.org.au/node/apni/2889381","Cydonia oblonga","Rosaceae",,"Mill.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Cylindropuntia fulgida","https://id.biodiversity.org.au/node/apni/2897165","Cylindropuntia fulgida","Cactaceae",,"F.M. Knuth (Engelm.)","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Australian Weeds Committee (2012). Noxious weeds list for Australian States and Territories."
"Cylindropuntia kleiniae","https://id.biodiversity.org.au/node/apni/2909536","Cylindropuntia kleiniae","Cactaceae",,"F.M.Knuth (DC.)","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Australian Weeds Committee (2012). Noxious weeds list for Australian States and Territories."
"Cylindropuntia prolifera","https://id.biodiversity.org.au/node/apni/2889863","Cylindropuntia prolifera","Cactaceae",,"F.M.Knuth (Engelm.)","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Cylindropuntia rosea","https://id.biodiversity.org.au/taxon/apni/51269882","Cylindropuntia pallida","Cactaceae",,"Backeb. (DC.)","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Australian Weeds Committee (2012). Noxious weeds list for Australian States and Territories. 
Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Cylindropuntia spinosior","https://id.biodiversity.org.au/node/apni/2908121","Cylindropuntia spinosior","Cactaceae",,"F.M.Knuth (Engelm.)","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Australian Weeds Committee (2012). Noxious weeds list for Australian States and Territories. 
Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Cylindropuntia subulata","https://id.biodiversity.org.au/node/apni/2896885","Austrocylindropuntia subulata","Cactaceae",,"F.M.Knuth (Muhlenpf.)","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Cylindropuntia tunicata","https://id.biodiversity.org.au/node/apni/2901453","Cylindropuntia tunicata","Cactaceae",,"F.M.Knuth (Lehm.)","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Australian Weeds Committee (2012). Noxious weeds list for Australian States and Territories. 
Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Cymbalaria muralis","https://id.biodiversity.org.au/node/apni/2902984","Cymbalaria muralis","Plantaginaceae",,"G.Gaertn., B.Mey. & Schreb.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Cymbopogon citratus","https://id.biodiversity.org.au/node/apni/2888034","Cymbopogon citratus","Poaceae",,"Stapf (DC.)","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Cymbopogon martini","https://id.biodiversity.org.au/node/apni/2913544","Cymbopogon martinii","Poaceae",,"W.Watson (Roxb.)","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Cymbopogon refractus","https://id.biodiversity.org.au/node/apni/2914400","Cymbopogon refractus","Poaceae",,"A.Camus (R.Br.)","Australia","Plantae","terrestrial","Native/Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Cynara cardunculus","https://id.biodiversity.org.au/node/apni/2887807","Cynara cardunculus","Asteraceae",,"L.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Australian Weeds Committee (2012). Noxious weeds list for Australian States and Territories. 
Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Cynara scolymus","https://id.biodiversity.org.au/node/apni/2906649","Cynara cardunculus subsp. flavescens","Asteraceae",,"L.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Cynodon aethiopicus","https://id.biodiversity.org.au/node/apni/2898194","Cynodon aethiopicus","Poaceae",,"Clayton & Harlan","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Cynodon aethiopicus x nlemfuensis",,,,,,"Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Cynodon dactylon","https://id.biodiversity.org.au/node/apni/2915319","Cynodon dactylon","Poaceae",,"Pers. (L.)","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Cynodon incompletus","https://id.biodiversity.org.au/node/apni/2898671","Cynodon incompletus","Poaceae",,"Nees","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Cynodon nlemfuensis","https://id.biodiversity.org.au/node/apni/2891708","Cynodon nlemfuensis","Poaceae",,"Vanderyst","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Cynodon radiatus","https://id.biodiversity.org.au/node/apni/2899356","Cynodon radiatus","Poaceae",,"Roth","Australia","Plantae","terrestrial","Native/Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Cynodon transvaalensis","https://id.biodiversity.org.au/node/apni/2886171","Cynodon transvaalensis","Poaceae",,"Burtt Davy","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Cynoglossum australe","https://id.biodiversity.org.au/node/apni/2904662","Cynoglossum australe","Boraginaceae",,"R.Br.","Australia","Plantae","terrestrial","Native/Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Cynoglossum creticum","https://id.biodiversity.org.au/node/apni/2891759","Cynoglossum creticum","Boraginaceae",,"Mill.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Australian Weeds Committee (2012). Noxious weeds list for Australian States and Territories. 
Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Cynosurus cristatus","https://id.biodiversity.org.au/node/apni/2899708","Cynosurus cristatus","Poaceae",,"L.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Cynosurus echinatus","https://id.biodiversity.org.au/node/apni/2912620","Cynosurus echinatus","Poaceae",,"L.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Cyperus aggregatus","https://id.biodiversity.org.au/node/apni/2906573","Cyperus aggregatus","Cyperaceae",,"Endl. (Willd.)","Australia","Plantae","terrestrial/freshwater","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Cyperus albostriatus","https://id.biodiversity.org.au/node/apni/2893623","Cyperus albostriatus","Cyperaceae",,"Schrad.","Australia","Plantae","terrestrial/freshwater","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Cyperus alopecuroides","https://id.biodiversity.org.au/node/apni/2905007","Cyperus alopecuroides","Cyperaceae",,"Rottb.","Australia","Plantae","terrestrial/freshwater","Native/Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Cyperus alternifolius","https://id.biodiversity.org.au/node/apni/2891488","Cyperus alterniflorus","Cyperaceae",,"L.","Australia","Plantae","terrestrial/freshwater","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Cyperus arenarius","https://id.biodiversity.org.au/node/apni/2909526","Cyperus arenarius","Cyperaceae",,"Retz.","Australia","Plantae","terrestrial/freshwater","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Cyperus compressus","https://id.biodiversity.org.au/node/apni/2910879","Cyperus compressus","Cyperaceae",,"L.","Australia","Plantae","terrestrial/freshwater","Native/Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Cyperus concinnus","https://id.biodiversity.org.au/node/apni/2894628","Cyperus concinnus","Cyperaceae",,"R.Br.","Australia","Plantae","terrestrial/freshwater","Native/Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Cyperus congestus","https://id.biodiversity.org.au/taxon/apni/51283097","Cyperus congestus","Cyperaceae",,"Vahl","Australia","Plantae","terrestrial/freshwater","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Cyperus difformis","https://id.biodiversity.org.au/node/apni/2898646","Cyperus difformis","Cyperaceae",,"L.","Australia","Plantae","terrestrial/freshwater","Native/Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Cyperus dubius","https://id.biodiversity.org.au/node/apni/2888150","Cyperus dubius","Cyperaceae",,"Rottb.","Australia","Plantae","terrestrial/freshwater","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Cyperus eragrostis","https://id.biodiversity.org.au/node/apni/2919773","Cyperus eragrostis","Cyperaceae",,"Lam.","Australia","Plantae","terrestrial/freshwater","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Cyperus esculentus","https://id.biodiversity.org.au/node/apni/2892901","Cyperus esculentus","Cyperaceae",,"L.","Australia","Plantae","terrestrial/freshwater","Alien","No","Yes","2017","Australian Weeds Committee (2012). Noxious weeds list for Australian States and Territories. 
Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Cyperus gracilis","https://id.biodiversity.org.au/node/apni/2905909","Cyperus gracilis","Cyperaceae",,"R.Br.","Australia","Plantae","terrestrial/freshwater","Native/Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Cyperus gymnocaulos","https://id.biodiversity.org.au/node/apni/2915996","Cyperus gymnocaulos","Cyperaceae",,"Steud.","Australia","Plantae","terrestrial/freshwater","Native/Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Cyperus hamulosus","https://id.biodiversity.org.au/node/apni/2919905","Cyperus hamulosus","Cyperaceae",,"M.Bieb.","Australia","Plantae","terrestrial/freshwater","Native/Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Cyperus involucratus","https://id.biodiversity.org.au/node/apni/2890025","Cyperus involucratus","Cyperaceae",,"Rottb.","Australia","Plantae","terrestrial/freshwater","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Cyperus longus","https://id.biodiversity.org.au/name/apni/98022","Cyperus longus","Cyperaceae",,"L.","Australia","Plantae","terrestrial/freshwater","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Cyperus papyrus","https://id.biodiversity.org.au/node/apni/2899308","Cyperus papyrus","Cyperaceae",,"L.","Australia","Plantae","terrestrial/freshwater","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Cyperus prolifer","https://id.biodiversity.org.au/node/apni/2894393","Cyperus prolifer","Cyperaceae",,"Lam.","Australia","Plantae","terrestrial/freshwater","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Cyperus reflexus","https://id.biodiversity.org.au/node/apni/2910343","Cyperus reflexus","Cyperaceae",,"Vahl","Australia","Plantae","terrestrial/freshwater","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Cyperus rigens","https://id.biodiversity.org.au/node/apni/2895179","Cyperus rigens","Cyperaceae",,"J.Presl & C.Presl","Australia","Plantae","terrestrial/freshwater","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Cyperus rotundus","https://id.biodiversity.org.au/taxon/apni/51283144","Cyperus rotundus","Cyperaceae",,"L.","Australia","Plantae","terrestrial/freshwater","Alien","No","Yes","2017","Australian Weeds Committee (2012). Noxious weeds list for Australian States and Territories. 
Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Cyperus sphacelatus","https://id.biodiversity.org.au/node/apni/2903505","Cyperus sphacelatus","Cyperaceae",,"Rottb.","Australia","Plantae","terrestrial/freshwater","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Cyperus surinamensis","https://id.biodiversity.org.au/node/apni/2896348","Cyperus surinamensis","Cyperaceae",,"Rottb.","Australia","Plantae","terrestrial/freshwater","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Cyperus vorsteri","https://id.biodiversity.org.au/node/apni/2893048","Cyperus vorsteri","Cyperaceae",,"K.L.Wilson","Australia","Plantae","terrestrial/freshwater","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Cyphomandra betacea","https://id.biodiversity.org.au/node/apni/2906655","Solanum betaceum","Solanaceae",,"Sendtner (Cav.)","Australia","Plantae","terrestrial","Native/Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Cyprinus carpio","urn:lsid:biodiversity.org.au:afd.taxon:16171fac-8d6c-4327-9fab-f2db864d71bf","Cyprinus carpio","Cyprinidae",,"(Linnaeus, 1758)","Australia","Animalia","freshwater","Alien","Yes","No","2018",
"Cyrtococcum deltoideum","https://id.biodiversity.org.au/instance/apni/766792","Cyrtococcum deltoideum","Poaceae",,"A.Camus (Hack.)","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Cyrtomium falcatum","https://id.biodiversity.org.au/node/apni/2891874","Cyrtomium falcatum","Dryopteridaceae",,"C. Presl (L. f.)","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Australian Weeds Committee (2012). Noxious weeds list for Australian States and Territories. 
Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Cytisus multiflorus","https://id.biodiversity.org.au/node/apni/2904397","Cytisus multiflorus","Fabaceae",,,"Australia","Plantae","terrestrial","Alien","No","Yes","2017","Australian Weeds Committee (2012). Noxious weeds list for Australian States and Territories. 
Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Cytisus palmensis","https://id.biodiversity.org.au/node/apni/2920101","Chamaecytisus palmensis","Fabaceae",,"L.f.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Cytisus proliferus","https://id.biodiversity.org.au/name/apni/142673","Cytisus proliferus","Fabaceae",,"L.f.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Cytisus scoparius","https://id.biodiversity.org.au/node/apni/2897651","Cytisus scoparius","Fabaceae",,"Link (L.)","Australia","Plantae","terrestrial","Alien","Yes","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Cytisus scoparius subsp. scoparius","https://id.biodiversity.org.au/node/apni/2897651","Cytisus scoparius","Fabaceae",,,"Australia","Plantae","terrestrial","Alien","No","Yes","2017","Australian Weeds Committee (2012). Noxious weeds list for Australian States and Territories."
"Dacelo novaeguineae","urn:lsid:biodiversity.org.au:afd.taxon:7d8ac40a-bf86-43a1-b1cf-0d98fdd6c29b","Dacelo (Dacelo) novaeguineae","Alcedinidae",,"(Hermann, 1783)","Australia","Animalia","terrestrial/freshwater","Alien","No","Yes","2017","Department of the Environment, Australia (2015). Feral animals on offshore islands database."
"Dactylis glomerata","https://id.biodiversity.org.au/node/apni/2915272","Dactylis glomerata","Poaceae",,"L.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Dactyloctenium aegyptium","https://id.biodiversity.org.au/node/apni/2898094","Dactyloctenium aegyptium","Poaceae",,"Willd. (L.)","Australia","Plantae","terrestrial","Native/Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Dactyloctenium australe","https://id.biodiversity.org.au/node/apni/2894781","Dactyloctenium australe","Poaceae",,"Steud.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Dactyloctenium giganteum","https://id.biodiversity.org.au/node/apni/2905737","Dactyloctenium giganteum","Poaceae",,"B.S.Fisher & Schweick.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Dactyloctenium radulans","https://id.biodiversity.org.au/node/apni/2888201","Dactyloctenium radulans","Poaceae",,"P.Beauv. (R.Br.)","Australia","Plantae","terrestrial","Native/Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Dalbergia sissoo","https://id.biodiversity.org.au/node/apni/2908768","Dalbergia sissoo","Fabaceae",,"DC.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Australian Weeds Committee (2012). Noxious weeds list for Australian States and Territories. 
Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Dama dama","urn:lsid:biodiversity.org.au:afd.taxon:d3a0dc93-bf65-4a0a-80f3-ab8bb69c6ee1","Dama dama","Cervidae",,"Linnaeus, 1758","Australia","Animalia","terrestrial","Alien","Yes","Yes","2018","Department of the Environment, Australia (2015). Feral animals on offshore islands database. 
Department of the Environment, Australia (2015). Invasive species."
"Danthonia decumbens","https://id.biodiversity.org.au/node/apni/2912973","Danthonia decumbens","Poaceae",,"DC. (L.)","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Datura fastuosa","https://id.biodiversity.org.au/node/apni/2906005","Datura innoxia","Solanaceae",,"P. Mill.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Datura inermis","https://id.biodiversity.org.au/node/apni/2917161","Datura stramonium","Solanaceae",,"Jacq.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Datura innoxia","https://id.biodiversity.org.au/node/apni/2906005","Datura innoxia","Solanaceae",,"Miller","Australia","Plantae","terrestrial","Alien","Yes","Yes","2017","Australian Weeds Committee (2012). Noxious weeds list for Australian States and Territories. 
Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Datura leichhardtii","https://id.biodiversity.org.au/node/apni/7965453","Datura leichhardtii","Solanaceae",,"F. Muell. ex Benth.","Australia","Plantae","terrestrial","Native/Alien","Yes","Yes","2017","Australian Weeds Committee (2012). Noxious weeds list for Australian States and Territories. 
Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Datura quercifolia",,,,,"Kunth","Australia","Plantae","terrestrial","Alien","Yes","Yes","2017","Australian Weeds Committee (2012). Noxious weeds list for Australian States and Territories. 
Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Datura stramonium","https://id.biodiversity.org.au/node/apni/2917161","Datura stramonium","Solanaceae",,"L.","Australia","Plantae","terrestrial","Alien","Yes","Yes","2017","Australian Weeds Committee (2012). Noxious weeds list for Australian States and Territories. 
Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Datura wrightii","https://id.biodiversity.org.au/node/apni/2897484","Datura wrightii","Solanaceae",,"Regel","Australia","Plantae","terrestrial","Alien","Yes","Yes","2017","Australian Weeds Committee (2012). Noxious weeds list for Australian States and Territories. 
Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Daucus brachiatus","https://id.biodiversity.org.au/node/apni/2901796","Daucus glochidiatus","Apiaceae",,"Sieber ex DC.","Australia","Plantae","terrestrial","Native/Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Daucus carota","https://id.biodiversity.org.au/node/apni/2893559","Daucus carota","Apiaceae",,"L.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Delairea odorata","https://id.biodiversity.org.au/node/apni/2886301","Delairea odorata","Asteraceae",,"Lem.","Australia","Plantae","terrestrial","Alien","Yes","Yes","2017","Australian Weeds Committee (2012). Noxious weeds list for Australian States and Territories. 
Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Delonix regia","https://id.biodiversity.org.au/node/apni/2911400","Delonix regia","Fabaceae",,"Raf. (Hook.)","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Dendrobium speciosum","https://id.biodiversity.org.au/taxon/apni/51316806","Dendrobium speciosum","Orchidaceae",,"Sm.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Australian Weeds Committee (2012). Noxious weeds list for Australian States and Territories."
"Dennstaedtia davallioides","https://id.biodiversity.org.au/node/apni/2891972","Dennstaedtia davallioides","Dennstaedtiaceae",,"T.Moore (R.Br.)","Australia","Plantae","terrestrial","Native/Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Deschampsia cespitosa","https://id.biodiversity.org.au/node/apni/2909801","Deschampsia cespitosa","Poaceae",,"P.Beauv. (L.)","Australia","Plantae","terrestrial","Native/Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Descurainia sophia","https://id.biodiversity.org.au/node/apni/2901176","Descurainia sophia","Brassicaceae",,"Webb ex Prantl (L.)","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Desmanthus virgatus","https://id.biodiversity.org.au/node/apni/2886829","Desmanthus virgatus","Fabaceae",,"Willd. (L.)","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Desmodium heterophyllum","https://id.biodiversity.org.au/node/apni/2886730","Desmodium heterophyllum","Fabaceae",,"DC. (Willd.)","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Desmodium incanum","https://id.biodiversity.org.au/node/apni/2902648","Desmodium incanum","Fabaceae",,"DC.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Desmodium intortum","https://id.biodiversity.org.au/node/apni/2896114","Desmodium intortum","Fabaceae",,"Urb. (Mill.)","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Desmodium scorpiurus","https://id.biodiversity.org.au/node/apni/2898742","Desmodium scorpiurus","Fabaceae",,"Desv. (Sw.)","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Desmodium strigillosum","https://id.biodiversity.org.au/node/apni/2906515","Desmodium strigillosum","Fabaceae",,"Schindl.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Desmodium tortuosum","https://id.biodiversity.org.au/node/apni/2888434","Desmodium tortuosum","Fabaceae",,"DC. (Sw.)","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Desmodium triflorum","https://id.biodiversity.org.au/node/apni/2900936","Desmodium triflorum","Fabaceae",,"DC. (L.)","Australia","Plantae","terrestrial","Native/Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Desmodium uncinatum","https://id.biodiversity.org.au/node/apni/2906388","Desmodium uncinatum","Fabaceae",,"DC. (Jacq.)","Australia","Plantae","terrestrial","Alien","Yes","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Deutzia scabra","https://id.biodiversity.org.au/name/apni/232088","Deutzia scabra","Hydrangeaceae",,"Thunb.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Dianella caerulea","https://id.biodiversity.org.au/name/apni/182063","Dianella caerulea 'DBB03'","Hemerocallidaceae",,"Sims","Australia","Plantae","terrestrial","Native/Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Dianella ensifolia","https://id.biodiversity.org.au/name/apni/100149","Dianella ensifolia","Hemerocallidaceae",,"DC. (L.)","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Dianthus armeria","https://id.biodiversity.org.au/node/apni/2900346","Dianthus armeria","Caryophyllaceae",,"L.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
